N,tau,noise,type,probability,mean,second_moment,third_moment,fourth_moment,variance,skewness,kurtosis
50,0.0001,0.0,pk,"[0.999001102930925, 0.9910344350127833, 0.9752313209923003, 0.9518498604324462, 0.9212713980643071, 0.8839937117210608, 0.8406221792041724, 0.7918591260752389, 0.7384915926852559, 0.6813777867698138, 0.6214325070421748, 0.5596118332455147, 0.4968973793591521, 0.434280399770319, 0.37274602424105874, 0.3132578776971133, 0.2567433166885232, 0.2040794873386519, 0.1560803812047072, 0.11348503710264932, 0.07694700979947162, 0.04702520149627254, 0.024176129878379474, 0.008747687547450344, 0.000974431918869981]",,,,,,,
50,0.0001,0.0,numeric,"[0.0, 0.0, 4.658248497953865e-10, 3.174672177751619e-08, 1.0593935822710137e-06, 2.0020348438669805e-05, 0.00023369222553245564, 0.0017831113786413292, 0.009246052538082606, 0.03348456617596118, 0.08633520967236212, 0.1605752944259398, 0.21720671724759796, 0.2145276936555218, 0.15470667841840316, 0.0811406540288576, 0.03069837948138282, 0.008268892462126929, 0.0015555703831409147, 0.00019887292411701116, 1.6619701471275954e-05, 8.578850639083744e-07, 2.5077880212572662e-08, 3.5895053253085035e-10, 0.0, 0.0]",24.9224344363416,633.6274684467205,16414.625233455547,432849.5884734264,12.499730212975235,0.0387806173857825,462.48030617740005
50,0.0001,0.0,analytic,"[0.0, 0.0, 4.2167627964417214e-10, 2.9019868069462805e-08, 9.778563256916344e-07, 1.8659095249958805e-05, 0.00021990918111547514, 0.001694085569802501, 0.008868439712485375, 0.03242232644722108, 0.08438572415744879, 0.15842081257512722, 0.21628577904310795, 0.21558845088245013, 0.1568924079415932, 0.08303134749338505, 0.03169463827643791, 0.008612631062668349, 0.0016343386518487156, 0.00021073209588658834, 1.7758683945045583e-05, 9.242030891038122e-07, 2.7232148850178056e-08, 3.927860880010773e-10, 0.0, 0.0]",24.979758508412854,636.4850255017227,16523.579366182792,436611.28482257883,12.496690363098766,0.0085200795256241,462.25702891335817
50,0.0001,0.0,thermal1,"[0.0, 0.0, 4.659215449880509e-10, 3.175207117801668e-08, 1.059535078850894e-06, 2.002240089858056e-05, 0.0002337098384641798, 0.0017832043020900683, 0.009246355392407018, 0.033485145292069335, 0.08633570476104035, 0.1605749852823365, 0.21720548291889633, 0.2145265059024582, 0.15470644863147454, 0.08114117922523145, 0.030698942456153146, 0.008269174555796963, 0.001555654077125004, 0.00019888831763110567, 1.662144520766859e-05, 8.580020389644068e-07, 2.5082186350275506e-08, 3.5902647467898864e-10, 0.0, 0.0]",24.922434436246018,633.6276179010539,16414.63640966121,432850.1565494903,12.499879672072213,0.0387823510791349,462.4912165396381
50,0.0001,0.001,pk,"[0.9990011028845915, 0.9910344349956087, 0.9752313210065063, 0.9518498604775578, 0.9212713981365636, 0.8839937118167335, 0.8406221793261586, 0.7918591262214637, 0.7384915928527019, 0.6813777869546735, 0.6214325072400101, 0.5596118334514288, 0.496897379567972, 0.4342803999767815, 0.37274602444000016, 0.3132578778836541, 0.25674331685824425, 0.2040794874877582, 0.15608038133017782, 0.113485037202377, 0.07694700987368773, 0.04702520154767323, 0.024176129902093137, 0.00874768754200322, 0.0009744318872982315]",,,,,,,
50,0.0001,0.001,numeric,"[0.0, 0.0, 0.0, 3.174672149661189e-08, 1.0593935756446165e-06, 2.00203483225641e-05, 0.00023369222431991556, 0.0017831113706612445, 0.009246052503829769, 0.033484566078814025, 0.08633520949290911, 0.16057529422624386, 0.21720671716064519, 0.2145276937518859, 0.15470667862007179, 0.08114065420424495, 0.030698379574130318, 0.008268892494204363, 0.0015555703904968667, 0.00019887292522181163, 1.6619701576469488e-05, 8.578850696471773e-07, 2.507788022465968e-08, 0.0, 0.0, 0.0]",24.92243442325676,633.6274679436751,16414.62520855901,432849.58721412654,12.499730362141804,0.0387694408091192,462.4804642894305
50,0.0001,0.001,thermal1,"[0.0, 0.0, 0.0, 3.175207180696032e-08, 1.059535097619876e-06, 2.0022401211345606e-05, 0.00023370984162560934, 0.0017832043224784606, 0.009246355478767837, 0.033485145534715585, 0.08633570520590968, 0.16057498577356732, 0.21720548312862975, 0.21452650566047518, 0.15470644813307433, 0.0811411787939521, 0.030698942228711674, 0.00826917447722019, 0.001555654059085705, 0.00019888831490841254, 1.6621444945329932e-05, 8.580020236261366e-07, 2.5082185849375988e-08, 0.0, 0.0, 0.0]",24.92243440478233,633.6276164816479,16414.63634981599,432850.1540832133,12.499879820969793,0.0387711819821561,462.4913746612146
50,0.0001,0.01,pk,"[0.9990011029023411, 0.9910344351537016, 0.9752313214366093, 0.9518498612945097, 0.9212713994312478, 0.8839937136504087, 0.8406221817265994, 0.7918591291811585, 0.7384915963292258, 0.6813777908732321, 0.6214325114980096, 0.5596118379248044, 0.4968973841188947, 0.4342804044622711, 0.3727460287209099, 0.3132578818334628, 0.25674332037109576, 0.2040794904852305, 0.1560803837663395, 0.11348503906679437, 0.07694701119217631, 0.04702520238073272, 0.024176130341114013, 0.00874768770348289, 0.0009744319054340109]",,,,,,,
50,0.0001,0.01,numeric,"[0.0, 0.0, 0.0, 3.174671618409351e-08, 1.0593934138258214e-06, 2.0020345621544295e-05, 0.00023369219698844175, 0.0017831111942118714, 0.00924605175561464, 0.033484563974138536, 0.08633520562913433, 0.16057528995223294, 0.2172067153260884, 0.21452769584547465, 0.15470668295166512, 0.08114065795886347, 0.03069838155668514, 0.008268893179903121, 0.0015555705480808399, 0.00019887294902998015, 1.6619703872673703e-05, 8.578852041517856e-07, 2.5077884859257218e-08, 0.0, 0.0, 0.0]",24.92243453702888,633.6274736163044,16414.625424894657,432849.5946849217,12.499730363814704,0.0387693839475105,462.48046441213233
50,0.0001,0.01,thermal1,"[0.0, 0.0, 0.0, 3.175206633832348e-08, 1.0595349344243602e-06, 2.002239849186565e-05, 0.00023370981413709012, 0.0017832041452021925, 0.009246354727864468, 0.033485143424916354, 0.0863357013377852, 0.1605749815023403, 0.21720548130500023, 0.2145265077645187, 0.15470645246664266, 0.08114118254391424, 0.0306989442063064, 0.008269175160441782, 0.00155565421593673, 0.0001988883385821166, 1.6621447226355046e-05, 8.580021569918893e-07, 2.508219020467893e-08, 0.0, 0.0, 0.0]",24.922434518554386,633.6276221529555,16414.63656605292,432850.16154899437,12.499879821324267,0.0387711250587017,462.4913746879902
