model,qubits,depth,noise_param,density_matrix,kinks_distribution,mean_kinks,var_kinks,purity
independent_ks_numeric,6,0,0.105,"[[0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j]
 [0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 0.+0.j 1.+0.j]]",[0.03125 0.46875 0.46875 0.03125],3.000000000000001,1.5,1.0
independent_ks_numeric,6,1,0.105,"[[ 0.01442443+2.18676634e-18j -0.03506945-1.40349518e-02j
  -0.00493413-8.69765984e-03j  0.0035333 +2.59471155e-02j
   0.01542307-2.08074474e-02j -0.05774302+3.55815474e-02j
  -0.01782223-2.18227234e-03j  0.04120701+2.26466638e-02j]
 [-0.03506945+1.40349518e-02j  0.11099906+1.68430107e-17j
   0.02045893+1.63453150e-02j -0.03796917-6.69303436e-02j
  -0.01725178+6.55948082e-02j  0.11868383-1.60117737e-01j
   0.04545371-1.20353496e-02j -0.13714586-1.67930501e-02j]
 [-0.00493413+8.69765984e-03j  0.02045893-1.63453150e-02j
   0.00910483-4.96281586e-18j -0.02213616-8.85899036e-03j
   0.00727077+1.64173735e-02j -0.001703  -4.69892425e-02j
   0.00973519-1.31338518e-02j -0.03644792+2.24593992e-02j]
 [ 0.0035333 -2.59471155e-02j -0.03796917+6.69303436e-02j
  -0.02213616+8.85899036e-03j  0.07006363-3.81802173e-17j
  -0.03365116-3.28403485e-02j  0.0559501 +1.26335183e-01j
  -0.01088948+4.14040448e-02j  0.07491433-1.01067785e-01j]
 [ 0.01542307+2.08074474e-02j -0.01725178-6.55948082e-02j
   0.00727077-1.64173735e-02j -0.03365116+3.28403485e-02j
   0.05607898+1.21056114e-17j -0.13634221-5.45647739e-02j
  -0.01918279-3.38145688e-02j  0.0137367 +1.00876619e-01j]
 [-0.05774302-3.55815474e-02j  0.11868383+1.60117737e-01j
  -0.001703  +4.69892425e-02j  0.0559501 -1.26335183e-01j
  -0.13634221+5.45647739e-02j  0.43153969+9.32150434e-17j
   0.07953976+6.35469527e-02j -0.14761568-2.60210304e-01j]
 [-0.01782223+2.18227234e-03j  0.04545371+1.20353496e-02j
   0.00973519+1.31338518e-02j -0.01088948-4.14040448e-02j
  -0.01918279+3.38145688e-02j  0.07953976-6.35469527e-02j
   0.03539757-1.70194792e-17j -0.08606046-3.44417860e-02j]
 [ 0.04120701-2.26466638e-02j -0.13714586+1.67930501e-02j
  -0.03644792-2.24593992e-02j  0.07491433+1.01067785e-01j
   0.0137367 -1.00876619e-01j -0.14761568+2.60210304e-01j
  -0.08606046+3.44417860e-02j  0.27239181-1.30930776e-16j]]",[0.09309943 0.63823928 0.26193471 0.00672658],2.3645768569207077,1.394845520324429,0.8189687826076406
independent_ks_numeric,6,2,0.105,"[[ 0.02085371+3.97363455e-18j -0.06059045-7.77392732e-03j
  -0.01373019+1.97666727e-03j  0.04062994-6.24812484e-04j
   0.01629438-3.16715722e-03j -0.04852401+3.12789102e-03j
  -0.0104281 +3.62977445e-03j  0.03165198-6.65888137e-03j]
 [-0.06059045+7.77392732e-03j  0.26460724+4.69367658e-17j
   0.0391562 -1.08616024e-02j -0.17421881+2.50814161e-02j
  -0.04616267+1.52764619e-02j  0.2067552 -4.01872330e-02j
   0.02894573-1.44337406e-02j -0.13231948+4.60572625e-02j]
 [-0.01373019-1.97666727e-03j  0.0391562 +1.08616024e-02j
   0.0148082 +2.82920949e-18j -0.04302523-5.52025984e-03j
  -0.01102852+5.40771769e-04j  0.03224495+2.54004130e-03j
   0.01157063-2.24899592e-03j -0.03445686+2.22111302e-03j]
 [ 0.04062994+6.24812484e-04j -0.17421881-2.50814161e-02j
  -0.04302523+5.52025984e-03j  0.1878974 +3.34253664e-17j
   0.03184177-5.68246644e-03j -0.13993796+6.86171212e-03j
  -0.03278008+1.08478039e-02j  0.14681671-2.85369234e-02j]
 [ 0.01629438+3.16715722e-03j -0.04616267-1.52764619e-02j
  -0.01102852-5.40771769e-04j  0.03184177+5.68246644e-03j
   0.02186472-1.84187409e-18j -0.06352795-8.15081670e-03j
  -0.01439585+2.07249848e-03j  0.04259973-6.55104147e-04j]
 [-0.04852401-3.12789102e-03j  0.2067552 +4.01872330e-02j
   0.03224495-2.54004130e-03j -0.13993796-6.86171212e-03j
  -0.06352795+8.15081670e-03j  0.27743572-2.70236000e-17j
   0.04105454-1.13881860e-02j -0.18266515+2.62973934e-02j]
 [-0.0104281 -3.62977445e-03j  0.02894573+1.44337406e-02j
   0.01157063+2.24899592e-03j -0.03278008-1.08478039e-02j
  -0.01439585-2.07249848e-03j  0.04105454+1.13881860e-02j
   0.01552612-1.30001345e-18j -0.04511115-5.78788870e-03j]
 [ 0.03165198+6.65888137e-03j -0.13231948-4.60572625e-02j
  -0.03445686-2.22111302e-03j  0.14681671+2.85369234e-02j
   0.04259973+6.55104147e-04j -0.18266515-2.62973934e-02j
  -0.04511115+5.78788870e-03j  0.19700689-1.90891976e-17j]]",[0.25826287 0.6453369  0.09445562 0.00194461],1.6801639558264356,1.3396926381787413,0.6266939007987551
independent_ks_numeric,6,3,0.105,"[[ 0.02889361-3.13503217e-17j -0.06851047-1.39509627e-03j
  -0.01935071-1.87650335e-03j  0.04579241+5.38375830e-03j
   0.01013386+1.17565395e-02j -0.02346103-2.83655685e-02j
  -0.00602334-8.53176789e-03j  0.01387018+2.05207487e-02j]
 [-0.06851047+1.39509627e-03j  0.24793981-3.09211102e-16j
   0.04597362+3.51510295e-03j -0.16605093-1.61025177e-02j
  -0.02459633-2.73869640e-02j  0.08695995+1.00884385e-01j
   0.01469407+1.99390876e-02j -0.05168709-7.32122025e-02j]
 [-0.01935071+1.87650335e-03j  0.04597362-3.51510295e-03j
   0.02899309-1.95510632e-17j -0.06874634-1.39989943e-03j
  -0.00755041-7.21547547e-03j  0.01755459+1.74733828e-02j
   0.01016875+1.17970160e-02j -0.0235418 -2.84632279e-02j]
 [ 0.04579241-5.38375830e-03j -0.16605093+1.61025177e-02j
  -0.06874634+1.39989943e-03j  0.24879344-2.08098509e-16j
   0.01825138+1.67442566e-02j -0.06479102-6.19169273e-02j
  -0.02468102-2.74812541e-02j  0.08725935+1.01231718e-01j]
 [ 0.01013386-1.17565395e-02j -0.02459633+2.73869640e-02j
  -0.00755041+7.21547547e-03j  0.01825138-1.67442566e-02j
   0.02320262-3.39435840e-17j -0.0550164 -1.12031319e-03j
  -0.01553932-1.50690063e-03j  0.03677298+4.32335427e-03j]
 [-0.02346103+2.83655685e-02j  0.08695995-1.00884385e-01j
   0.01755459-1.74733828e-02j -0.06479102+6.19169273e-02j
  -0.0550164 +1.12031319e-03j  0.19910471-3.23548268e-16j
   0.03691849+2.82275587e-03j -0.13334495-1.29309090e-02j]
 [-0.00602334+8.53176789e-03j  0.01469407-1.99390876e-02j
   0.01016875-1.17970160e-02j -0.02468102+2.74812541e-02j
  -0.01553932+1.50690063e-03j  0.03691849-2.82275587e-03j
   0.02328251-2.44985367e-17j -0.05520582-1.12417030e-03j]
 [ 0.01387018-2.05207487e-02j -0.05168709+7.32122025e-02j
  -0.0235418 +2.84632279e-02j  0.08725935-1.01231718e-01j
   0.03677298-4.32335427e-03j -0.13334495+1.29309090e-02j
  -0.05520582+1.12417030e-03j  0.19979021-2.42610212e-16j]]",[0.36283388 0.5280885  0.10601213 0.00306549],1.4986184494440236,1.6730483727672048,0.46399834404081475
independent_ks_numeric,6,4,0.105,"[[ 0.02517196-6.51460309e-18j -0.05407642-6.95051156e-03j
  -0.01502341+4.43281569e-04j  0.0323969 +3.19598999e-03j
  -0.00476988+1.16985922e-02j  0.01347727-2.38147894e-02j
   0.0026408 -7.06608458e-03j -0.00762428+1.44507490e-02j]
 [-0.05407642+6.95051156e-03j  0.21330794-7.13167561e-17j
   0.0321521 -5.10057611e-03j -0.12730886+3.75638186e-03j
   0.00701681-2.64489208e-02j -0.04042013+9.91342355e-02j
  -0.00372209+1.59091116e-02j  0.02237823-5.98782215e-02j]
 [-0.01502341-4.43281569e-04j  0.0321521 +5.10057611e-03j
   0.02642034-1.35801705e-17j -0.0567583 -7.29521714e-03j
   0.00305283-6.89808804e-03j -0.00846304+1.39760758e-02j
  -0.00500644+1.22787754e-02j  0.01414567-2.49958666e-02j]
 [ 0.0323969 -3.19598999e-03j -0.12730886-3.75638186e-03j
  -0.0567583 +7.29521714e-03j  0.2238868 -1.31989649e-16j
  -0.00465362+1.56619775e-02j  0.02586977-5.84546135e-02j
   0.00736481-2.77606358e-02j -0.04242474+1.04050726e-01j]
 [-0.00476988-1.16985922e-02j  0.00701681+2.64489208e-02j
   0.00305283+6.89808804e-03j -0.00465362-1.56619775e-02j
   0.02632687-1.58004688e-17j -0.05655749-7.26940642e-03j
  -0.0157127 +4.63619671e-04j  0.03388329+3.34262449e-03j]
 [ 0.01347727+2.38147894e-02j -0.04042013-9.91342355e-02j
  -0.00846304-1.39760758e-02j  0.02586977+5.84546135e-02j
  -0.05655749+7.26940642e-03j  0.22309468-1.50744694e-16j
   0.03362726-5.33459449e-03j -0.13314989+3.92872757e-03j]
 [ 0.0026408 +7.06608458e-03j -0.00372209-1.59091116e-02j
  -0.00500644-1.22787754e-02j  0.00736481+2.77606358e-02j
  -0.0157127 -4.63619671e-04j  0.03362726+5.33459449e-03j
   0.02763253-2.36359123e-17j -0.05936241-7.62992735e-03j]
 [-0.00762428-1.44507490e-02j  0.02237823+5.98782215e-02j
   0.01414567+2.49958666e-02j -0.04242474-1.04050726e-01j
   0.03388329-3.34262449e-03j -0.13314989-3.92872757e-03j
  -0.05936241+7.62992735e-03j  0.2341589 -2.17978201e-16j]]",[0.40544142 0.47624767 0.11395472 0.00435619],1.4344513756013788,1.827438379066415,0.3807807543084014
independent_ks_numeric,6,5,0.105,"[[ 0.02643949-8.26529996e-18j -0.05177719-2.10307138e-04j
  -0.01291269-1.36087854e-03j  0.02527645+2.76775715e-03j
  -0.01155056+1.17132530e-03j  0.02262911-2.20196222e-03j
   0.00570143+2.24646248e-05j -0.01116509-8.93438563e-05j]
 [-0.05177719+2.10307138e-04j  0.21314612+7.36725619e-17j
   0.0252981 +2.56233483e-03j -0.10409768-1.09709354e-02j
   0.02261047-2.38571506e-03j -0.09311668+9.44282224e-03j
  -0.01116544+1.35766752e-06j  0.04596296+1.81102089e-04j]
 [-0.01291269+1.36087854e-03j  0.0252981 -2.56233483e-03j
   0.02514789+1.85881734e-18j -0.0492478 -2.00033334e-04j
   0.00558085-1.16658346e-03j -0.01093841+2.24016093e-03j
  -0.0109863 +1.11410439e-03j  0.02152364-2.09439323e-03j]
 [ 0.02527645-2.76775715e-03j -0.10409768+1.09709354e-02j
  -0.0492478 +2.00033334e-04j  0.20273363+1.48435640e-16j
  -0.01091985+2.32894421e-03j  0.04499089-9.40459517e-03j
   0.02150592-2.26916948e-03j -0.0885678 +8.98152692e-03j]
 [-0.01155056-1.17132530e-03j  0.02261047+2.38571506e-03j
   0.00558085+1.16658346e-03j -0.01091985-2.32894421e-03j
   0.03011955-2.78327280e-18j -0.05898395-2.39579327e-04j
  -0.01470998-1.55029624e-03j  0.02879463+3.15299520e-03j]
 [ 0.02262911+2.20196222e-03j -0.09311668-9.44282224e-03j
  -0.01093841-2.24016093e-03j  0.04499089+9.40459517e-03j
  -0.05898395+2.39579327e-04j  0.24281347+1.37395468e-16j
   0.02881929+2.91898060e-03j -0.11858681-1.24979558e-02j]
 [ 0.00570143-2.24646248e-05j -0.01116544-1.35766752e-06j
  -0.0109863 -1.11410439e-03j  0.02150592+2.26916948e-03j
  -0.01470998+1.55029624e-03j  0.02881929-2.91898060e-03j
   0.02864817+8.42599326e-18j -0.0561025 -2.27875536e-04j]
 [-0.01116509+8.93438563e-05j  0.04596296-1.81102089e-04j
   0.02152364+2.09439323e-03j -0.0885678 -8.98152692e-03j
   0.02879463-3.15299520e-03j -0.11858681+1.24979558e-02j
  -0.0561025 +2.27875536e-04j  0.23095168+2.19952638e-16j]]",[0.40715851 0.46122282 0.12582048 0.00579819],1.4605166999501282,1.9336447133057173,0.3298226181241364
independent_ks_numeric,6,6,0.105,"[[ 0.03426888+7.98848404e-17j -0.06048358-2.54839941e-03j
  -0.01532936+7.21175666e-04j  0.02710951-1.32888886e-04j
  -0.00740138-8.36677827e-03j  0.01244103+1.53175252e-02j
   0.00348691+3.58691854e-03j -0.00588755-6.59011114e-03j]
 [-0.06048358+2.54839941e-03j  0.23256929+1.11473678e-16j
   0.02700225-2.41281971e-03j -0.1040343 +4.89433320e-03j
   0.01368542+1.42167206e-02j -0.05023022-5.67820056e-02j
  -0.00642103-6.07150489e-03j  0.02366424+2.43429934e-02j]
 [-0.01532936-7.21175666e-04j  0.02700225+2.41281971e-03j
   0.03536999+1.15600647e-16j -0.06242701-2.63028309e-03j
   0.00313475+3.89843702e-03j -0.00524284-7.11374460e-03j
  -0.0076392 -8.63561472e-03j  0.01284077+1.58096990e-02j]
 [ 0.02710951+1.32888886e-04j -0.1040343 -4.89433320e-03j
  -0.06242701+2.63028309e-03j  0.24004207+3.40024553e-16j
  -0.00582266-6.64751372e-03j  0.02127433+2.64571458e-02j
   0.01412515+1.46735240e-02j -0.05184419-5.86064919e-02j]
 [-0.00740138+8.36677827e-03j  0.01368542-1.42167206e-02j
   0.00313475-3.89843702e-03j -0.00582266+6.64751372e-03j
   0.02892866+6.11516015e-17j -0.05105825-2.15127488e-03j
  -0.01294054+6.08792754e-04j  0.02288496-1.12180423e-04j]
 [ 0.01244103-1.53175252e-02j -0.05023022+5.67820056e-02j
  -0.00524284+7.11374460e-03j  0.02127433-2.64571458e-02j
  -0.05105825+2.15127488e-03j  0.19632733+5.14516553e-17j
   0.02279441-2.03682296e-03j -0.08782233+4.13163495e-03j]
 [ 0.00348691-3.58691854e-03j -0.00642103+6.07150489e-03j
  -0.0076392 +8.63561472e-03j  0.01412515-1.46735240e-02j
  -0.01294054-6.08792754e-04j  0.02279441+2.03682296e-03j
   0.02985818+9.10997776e-17j -0.05269882-2.22039839e-03j]
 [-0.00588755+6.59011114e-03j  0.02366424-2.43429934e-02j
   0.01284077-1.58096990e-02j -0.05184419+5.86064919e-02j
   0.02288496+1.12180423e-04j -0.08782233-4.13163495e-03j
  -0.05269882+2.22039839e-03j  0.20263561+2.43016350e-16j]]",[0.40077781 0.45619543 0.13567612 0.00735064],1.4991991926930386,2.012624552978786,0.29719538813539903
independent_ks_numeric,6,7,0.105,"[[ 4.15832469e-02-9.76591026e-17j -6.69374961e-02-4.02478785e-03j
  -1.55279220e-02-1.05313630e-03j  2.48937168e-02+3.19818457e-03j
   1.25344302e-04-6.43636427e-03j -8.24736812e-04+1.03486297e-02j
  -2.09812990e-04+2.40027812e-03j  5.70060499e-04-3.84347464e-03j]
 [-6.69374961e-02+4.02478785e-03j  2.82389991e-01-7.80699451e-16j
   2.50975801e-02+1.92330215e-04j -1.05449432e-01-7.15180202e-03j
   4.21197677e-04+1.03728935e-02j  8.51207613e-04-4.37090652e-02j
   1.05420964e-04-3.88408969e-03j -1.42483074e-03+1.63001826e-02j]
 [-1.55279220e-02+1.05313630e-03j  2.50975801e-02-1.92330215e-04j
   4.01447736e-02-1.12293604e-16j -6.46219531e-02-3.88555992e-03j
   1.16201419e-04+2.40662706e-03j  4.58822118e-05-3.88524917e-03j
   1.21008315e-04-6.21371360e-03j -7.96207009e-04+9.99064354e-03j]
 [ 2.48937168e-02-3.19818457e-03j -1.05449432e-01+7.15180202e-03j
  -6.46219531e-02+3.88555992e-03j  2.72621383e-01-8.76017044e-16j
  -4.19986332e-04-3.86275520e-03j  7.89118696e-04+1.63432979e-02j
   4.06627348e-04+1.00140680e-02j  8.21762116e-04-4.21970543e-02j]
 [ 1.25344302e-04+6.43636427e-03j  4.21197677e-04-1.03728935e-02j
   1.16201419e-04-2.40662706e-03j -4.19986332e-04+3.86275520e-03j
   2.37232934e-02-5.42052342e-17j -3.81879237e-02-2.29614641e-03j
  -8.85869857e-03-6.00815550e-04j  1.42018960e-02+1.82456822e-03j]
 [-8.24736812e-04-1.03486297e-02j  8.51207613e-04+4.37090652e-02j
   4.58822118e-05+3.88524917e-03j  7.89118696e-04-1.63432979e-02j
  -3.81879237e-02+2.29614641e-03j  1.61103836e-01-4.35139701e-16j
   1.43182003e-02+1.09724624e-04j -6.01590303e-02-4.08011183e-03j]
 [-2.09812990e-04-2.40027812e-03j  1.05420964e-04+3.88408969e-03j
   1.21008315e-04+6.21371360e-03j  4.06627348e-04-1.00140680e-02j
  -8.85869857e-03+6.00815550e-04j  1.43182003e-02-1.09724624e-04j
   2.29026426e-02-6.26064495e-17j -3.68669035e-02-2.21671670e-03j]
 [ 5.70060499e-04+3.84347464e-03j -1.42483074e-03-1.63001826e-02j
  -7.96207009e-04-9.99064354e-03j  8.21762116e-04+4.21970543e-02j
   1.42018960e-02-1.82456822e-03j -6.01590303e-02+4.08011183e-03j
  -3.68669035e-02+2.21671670e-03j  1.55530833e-01-4.89873089e-16j]]",[0.39416016 0.45317192 0.14379295 0.00887498],1.5347654727865225,2.077368862201466,0.274857859144964
independent_ks_numeric,6,8,0.105,"[[ 4.59744311e-02+1.42788808e-17j -6.83192203e-02+5.91510210e-04j
  -1.55312499e-02+5.87385678e-04j  2.30722906e-02-1.07269678e-03j
   7.03243770e-04+1.40202982e-03j -1.06307745e-03-2.07440540e-03j
  -2.55485205e-04-4.64653930e-04j  3.85636039e-04+6.87200937e-04j]
 [-6.83192203e-02-5.91510210e-04j  2.81040034e-01-1.20947218e-16j
   2.30874053e-02-6.73044515e-04j -9.49419685e-02+3.59066740e-03j
  -1.02700022e-03-2.09250137e-03j  4.29890372e-03+8.57055756e-03j
   3.73679500e-04+6.93775118e-04j -1.56177181e-03-2.84041267e-03j]
 [-1.55312499e-02-5.87385678e-04j  2.30874053e-02+6.73044515e-04j
   4.74010689e-02+2.69615574e-17j -7.04392418e-02+6.09865431e-04j
  -2.19659542e-04-4.82623715e-04j  3.32629358e-04+7.14365448e-04j
   7.25066207e-04+1.44553636e-03j -1.09606593e-03-2.13877651e-03j]
 [ 2.30722906e-02+1.07269678e-03j -9.49419685e-02-3.59066740e-03j
  -7.04392418e-02-6.09865431e-04j  2.89761019e-01-4.98801923e-17j
   3.20210417e-04+7.20017758e-04j -1.34277083e-03-2.95026131e-03j
  -1.05886919e-03-2.15743401e-03j  4.43230349e-03+8.83651151e-03j]
 [ 7.03243770e-04-1.40202982e-03j -1.02700022e-03+2.09250137e-03j
  -2.19659542e-04+4.82623715e-04j  3.20210417e-04-7.20017758e-04j
   2.32457647e-02+1.29106292e-17j -3.45438211e-02+2.99081617e-04j
  -7.85296897e-03+2.96996156e-04j  1.16658984e-02-5.42380983e-04j]
 [-1.06307745e-03+2.07440540e-03j  4.29890372e-03-8.57055756e-03j
   3.32629358e-04-7.14365448e-04j -1.34277083e-03+2.95026131e-03j
  -3.45438211e-02-2.99081617e-04j  1.42100519e-01-2.63655962e-17j
   1.16735407e-02-3.40307299e-04j -4.80049152e-02+1.81552676e-03j]
 [-2.55485205e-04+4.64653930e-04j  3.73679500e-04-6.93775118e-04j
   7.25066207e-04-1.44553636e-03j -1.05886919e-03+2.15743401e-03j
  -7.85296897e-03-2.96996156e-04j  1.16735407e-02+3.40307299e-04j
   2.39671067e-02+1.94998864e-17j -3.56157543e-02+3.08362453e-04j]
 [ 3.85636039e-04-6.87200937e-04j -1.56177181e-03+2.84041267e-03j
  -1.09606593e-03+2.13877651e-03j  4.43230349e-03-8.83651151e-03j
   1.16658984e-02+5.42380983e-04j -4.80049152e-02-1.81552676e-03j
  -3.56157543e-02-3.08362453e-04j  1.46510056e-01+1.06470971e-17j]]",[0.38874125 0.45187399 0.14917929 0.01020546],1.561697941519865,2.1228609011336173,0.26069956525602883
independent_ks_numeric,6,9,0.105,"[[ 0.04834243-6.01144350e-17j -0.0663907 -3.41306761e-03j
  -0.01371829-6.29261108e-04j  0.01879548+1.83272836e-03j
  -0.004592  +5.30344187e-03j  0.00668082-6.95923685e-03j
   0.00137212-1.44520231e-03j -0.00198643+1.88788306e-03j]
 [-0.0663907 +3.41306761e-03j  0.27302849-1.74127792e-16j
   0.01888433-1.04346593e-04j -0.0774782 -3.55394257e-03j
   0.00593196-7.60764500e-03j -0.02593472+2.99527932e-02j
  -0.00178236+2.08163178e-03j  0.00774947-8.16221746e-03j]
 [-0.01371829+6.29261108e-04j  0.01888433+1.04346593e-04j
   0.04689162-4.07637999e-17j -0.06439824-3.31063767e-03j
   0.00123405-1.56474814e-03j -0.00180525+2.06180822e-03j
  -0.00445419+5.14427970e-03j  0.00648032-6.75038244e-03j]
 [ 0.01879548-1.83272836e-03j -0.0774782 +3.55394257e-03j
  -0.06439824+3.31063767e-03j  0.2648346 -6.98026603e-17j
  -0.0015843 +2.23606134e-03j  0.00696969-8.83738877e-03j
   0.00575393-7.37933114e-03j -0.02515639+2.90538767e-02j]
 [-0.004592  -5.30344187e-03j  0.00593196+7.60764500e-03j
   0.00123405+1.56474814e-03j -0.0015843 -2.23606134e-03j
   0.0280162 -2.34913605e-17j -0.03847583-1.97799713e-03j
  -0.00795025-3.64679757e-04j  0.01089267+1.06213291e-03j]
 [ 0.00668082+6.95923685e-03j -0.02593472-2.99527932e-02j
  -0.00180525-2.06180822e-03j  0.00696969+8.83738877e-03j
  -0.03847583+1.97799713e-03j  0.15822996-3.68269602e-17j
   0.01094416-6.04726553e-05j -0.04490144-2.05963931e-03j]
 [ 0.00137212+1.44520231e-03j -0.00178236-2.08163178e-03j
  -0.00445419-5.14427970e-03j  0.00575393+7.37933114e-03j
  -0.00795025+3.64679757e-04j  0.01094416+6.04726553e-05j
   0.0271754 -1.26175023e-17j -0.03732113-1.91863525e-03j]
 [-0.00198643-1.88788306e-03j  0.00774947+8.16221746e-03j
   0.00648032+6.75038244e-03j -0.02515639-2.90538767e-02j
   0.01089267-1.06213291e-03j -0.04490144+2.05963931e-03j
  -0.03732113+1.91863525e-03j  0.15348131+2.17099524e-17j]]",[0.37657122 0.45413585 0.1574302  0.01186274],1.6091689193271748,2.1730605330476425,0.24832196984173133
