2023-08-23 00:03:39,900 Finished calculating data for N=50, tau=1e-05, noise=0.0
2023-08-23 00:03:39,953 Finished calculating data for N=50, tau=4.2e-05, noise=0.0
2023-08-23 00:03:39,998 Finished calculating data for N=50, tau=1e-05, noise=0.01
2023-08-23 00:03:40,049 Finished calculating data for N=50, tau=1e-05, noise=0.05
2023-08-23 00:03:40,101 Finished calculating data for N=50, tau=1e-05, noise=0.1
2023-08-23 00:03:40,152 Finished calculating data for N=50, tau=1e-05, noise=0.2
2023-08-23 00:03:40,202 Finished calculating data for N=50, tau=1e-05, noise=0.5
2023-08-23 00:03:40,254 Finished calculating data for N=50, tau=1e-05, noise=1.0
2023-08-23 00:03:40,304 Finished calculating data for N=50, tau=1e-05, noise=5.0
2023-08-23 00:03:40,355 Finished calculating data for N=50, tau=1e-05, noise=10.0
2023-08-23 00:03:40,408 Finished calculating data for N=50, tau=1.6e-05, noise=0.0
2023-08-23 00:03:40,457 Finished calculating data for N=50, tau=1.6e-05, noise=0.001
2023-08-23 00:03:40,509 Finished calculating data for N=50, tau=1.6e-05, noise=0.01
2023-08-23 00:03:40,560 Finished calculating data for N=50, tau=1.6e-05, noise=0.05
2023-08-23 00:03:40,611 Finished calculating data for N=50, tau=1.6e-05, noise=0.1
2023-08-23 00:03:40,659 Finished calculating data for N=50, tau=0.045204, noise=0.2
2023-08-23 00:03:40,708 Finished calculating data for N=50, tau=1.6e-05, noise=0.5
2023-08-23 00:03:40,757 Finished calculating data for N=50, tau=1.6e-05, noise=1.0
2023-08-23 00:03:40,806 Finished calculating data for N=50, tau=1.6e-05, noise=5.0
2023-08-23 00:03:40,855 Finished calculating data for N=50, tau=1.6e-05, noise=10.0
2023-08-23 00:03:40,907 Finished calculating data for N=50, tau=2.6e-05, noise=0.0
2023-08-23 00:03:40,956 Finished calculating data for N=50, tau=2.6e-05, noise=0.001
2023-08-23 00:03:41,007 Finished calculating data for N=50, tau=2.6e-05, noise=0.01
2023-08-23 00:03:41,059 Finished calculating data for N=50, tau=2.6e-05, noise=0.05
2023-08-23 00:03:41,111 Finished calculating data for N=50, tau=2.6e-05, noise=0.1
2023-08-23 00:03:41,156 Finished calculating data for N=50, tau=2.6e-05, noise=0.2
2023-08-23 00:03:41,215 Finished calculating data for N=50, tau=2.6e-05, noise=0.5
2023-08-23 00:03:41,262 Finished calculating data for N=50, tau=2.6e-05, noise=1.0
2023-08-23 00:03:41,323 Finished calculating data for N=50, tau=2.6e-05, noise=5.0
2023-08-23 00:03:41,365 Finished calculating data for N=50, tau=2.6e-05, noise=10.0
2023-08-23 00:03:41,409 Finished calculating data for N=50, tau=1e-05, noise=0.001
2023-08-23 00:03:41,458 Finished calculating data for N=50, tau=4.2e-05, noise=0.001
2023-08-23 00:03:41,509 Finished calculating data for N=50, tau=4.2e-05, noise=0.01
2023-08-23 00:03:41,559 Finished calculating data for N=50, tau=4.2e-05, noise=0.05
2023-08-23 00:03:41,610 Finished calculating data for N=50, tau=4.2e-05, noise=0.1
2023-08-23 00:03:41,659 Finished calculating data for N=50, tau=4.2e-05, noise=0.2
2023-08-23 00:03:41,707 Finished calculating data for N=50, tau=4.2e-05, noise=0.5
2023-08-23 00:03:41,754 Finished calculating data for N=50, tau=4.2e-05, noise=1.0
2023-08-23 00:03:41,804 Finished calculating data for N=50, tau=4.2e-05, noise=5.0
2023-08-23 00:03:41,855 Finished calculating data for N=50, tau=4.2e-05, noise=10.0
2023-08-23 00:03:41,906 Finished calculating data for N=50, tau=6.8e-05, noise=0.0
2023-08-23 00:03:41,956 Finished calculating data for N=50, tau=6.8e-05, noise=0.001
2023-08-23 00:03:42,005 Finished calculating data for N=50, tau=6.8e-05, noise=0.01
2023-08-23 00:03:42,054 Finished calculating data for N=50, tau=6.8e-05, noise=0.05
2023-08-23 00:03:42,102 Finished calculating data for N=50, tau=6.8e-05, noise=0.1
2023-08-23 00:03:42,151 Finished calculating data for N=50, tau=6.8e-05, noise=0.2
2023-08-23 00:03:42,200 Finished calculating data for N=50, tau=6.8e-05, noise=0.5
2023-08-23 00:03:42,249 Finished calculating data for N=50, tau=6.8e-05, noise=1.0
2023-08-23 00:03:42,296 Finished calculating data for N=50, tau=6.8e-05, noise=5.0
2023-08-23 00:03:42,345 Finished calculating data for N=50, tau=6.8e-05, noise=10.0
2023-08-23 00:03:42,396 Finished calculating data for N=50, tau=0.0001, noise=0.0
2023-08-23 00:03:42,445 Finished calculating data for N=50, tau=0.0001, noise=0.001
2023-08-23 00:03:42,494 Finished calculating data for N=50, tau=0.0001, noise=0.01
2023-08-23 00:03:42,542 Finished calculating data for N=50, tau=0.0001, noise=0.05
2023-08-23 00:03:42,592 Finished calculating data for N=50, tau=0.0001, noise=0.1
2023-08-23 00:03:42,640 Finished calculating data for N=50, tau=0.0001, noise=0.2
2023-08-23 00:03:42,689 Finished calculating data for N=50, tau=0.0001, noise=0.5
2023-08-23 00:03:42,738 Finished calculating data for N=50, tau=0.0001, noise=1.0
2023-08-23 00:03:42,786 Finished calculating data for N=50, tau=0.0001, noise=5.0
